Target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,38,46,62,64,65,5,0,0,0,0,0,0,0,0,0,0
1,36,43,62,52,5,0,0,0,0,0,0,0,0,0,0,0
1,318,41,106,61,253,24,0,0,0,0,0,0,0,0,0,0
1,36,47,64,106,4,0,0,0,0,0,0,0,0,0,0,0
1,318,46,64,17,9,0,0,0,0,0,0,0,0,0,0,0
1,259,46,64,11,0,0,0,0,0,0,0,0,0,0,0,0
1,37,62,64,5,0,0,0,0,0,0,0,0,0,0,0,0
1,37,49,11,29,0,0,0,0,0,0,0,0,0,0,0,0
1,37,41,57,6,0,0,0,0,0,0,0,0,0,0,0,0
1,318,46,64,106,5,0,0,0,0,0,0,0,0,0,0,0
1,38,46,64,65,57,3,0,0,0,0,0,0,0,0,0,0
1,318,266,64,65,61,244,0,0,0,0,0,0,0,0,0,0
1,37,40,46,62,64,244,0,0,0,0,0,0,0,0,0,0
1,37,43,62,104,52,27,25,0,0,0,0,0,0,0,0,0
1,43,64,58,5,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,318,21,253,0,0,0,0,0,0,0,0,0,0,0,0,0
1,46,11,238,0,0,0,0,0,0,0,0,0,0,0,0,0
1,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,46,62,64,106,57,1605,0,0,0,0,0,0,0,0,0
1,318,36,257,4495,253,241,0,0,0,0,0,0,0,0,0,0
1,37,46,62,17,57,9,0,0,0,0,0,0,0,0,0,0
1,38,46,307,11,332,25,0,0,0,0,0,0,0,0,0,0
1,38,43,64,104,28,23,0,0,0,0,0,0,0,0,0,0
1,40,41,64,28,0,0,0,0,0,0,0,0,0,0,0,0
1,37,47,62,17,57,240,105,24,0,0,0,0,0,0,0,0
1,37,46,55,4,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,11,29,25,0,0,0,0,0,0,0,0,0,0,0
1,38,42,4495,9,24,0,0,0,0,0,0,0,0,0,0,0
1,261,55,19,9,105,0,0,0,0,0,0,0,0,0,0,0
1,49,62,57,25,0,0,0,0,0,0,0,0,0,0,0,0
1,259,47,4495,19,27,0,0,0,0,0,0,0,0,0,0,0
1,39,38,266,64,55,17,57,332,18,0,0,0,0,0,0,0
1,38,46,21,57,0,0,0,0,0,0,0,0,0,0,0,0
1,43,62,106,104,237,25,0,0,0,0,0,0,0,0,0,0
1,37,46,64,19,61,278,0,0,0,0,0,0,0,0,0,0
1,37,41,11,57,7,18,0,0,0,0,0,0,0,0,0,0
1,38,43,5,24,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,64,55,4517,57,4,4518,0,0,0,0,0,0,0,0
1,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,57,27,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,64,6,0,0,0,0,0,0,0,0,0,0,0,0
1,37,261,26,11,240,0,0,0,0,0,0,0,0,0,0,0
1,318,46,106,11,1606,332,0,0,0,0,0,0,0,0,0,0
1,259,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,318,46,62,55,4,0,0,0,0,0,0,0,0,0,0,0
1,46,62,19,58,29,0,0,0,0,0,0,0,0,0,0,0
1,36,49,19,57,240,0,0,0,0,0,0,0,0,0,0,0
1,37,46,55,17,278,51,0,0,0,0,0,0,0,0,0,0
1,36,43,64,61,4,0,0,0,0,0,0,0,0,0,0,0
1,38,46,106,104,28,25,0,0,0,0,0,0,0,0,0,0
1,318,40,43,64,57,52,5,105,24,0,0,0,0,0,0,0
1,38,49,65,106,104,57,27,0,0,0,0,0,0,0,0,0
1,259,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,46,62,65,57,4,0,0,0,0,0,0,0,0,0,0,0
1,38,261,55,57,53,4,25,0,0,0,0,0,0,0,0,0
1,37,46,11,10,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,62,106,4,0,0,0,0,0,0,0,0,0,0,0
1,36,43,11,7,0,0,0,0,0,0,0,0,0,0,0,0
1,38,261,21,57,27,105,0,0,0,0,0,0,0,0,0,0
1,38,46,11,57,27,25,0,0,0,0,0,0,0,0,0,0
1,37,46,62,11,9,0,0,0,0,0,0,0,0,0,0,0
1,318,49,62,106,11,237,0,0,0,0,0,0,0,0,0,0
1,37,43,62,21,332,0,0,0,0,0,0,0,0,0,0,0
1,37,46,11,57,29,0,0,0,0,0,0,0,0,0,0,0
1,37,41,106,55,4,0,0,0,0,0,0,0,0,0,0,0
1,259,49,21,240,0,0,0,0,0,0,0,0,0,0,0,0
1,38,43,65,21,237,0,0,0,0,0,0,0,0,0,0,0
1,259,253,51,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,106,57,0,0,0,0,0,0,0,0,0,0,0,0,0
1,62,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,46,62,64,106,11,29,0,0,0,0,0,0,0,0,0
1,37,47,64,57,4,0,0,0,0,0,0,0,0,0,0,0
1,318,43,61,4,0,0,0,0,0,0,0,0,0,0,0,0
1,37,41,104,57,9,0,0,0,0,0,0,0,0,0,0,0
1,37,261,17,57,9,0,0,0,0,0,0,0,0,0,0,0
1,318,43,64,11,61,332,236,0,0,0,0,0,0,0,0,0
1,38,43,17,19,240,24,0,0,0,0,0,0,0,0,0,0
1,49,21,51,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40,46,62,104,28,0,0,0,0,0,0,0,0,0,0,0
1,318,265,62,19,28,0,0,0,0,0,0,0,0,0,0,0
1,318,49,21,7,0,0,0,0,0,0,0,0,0,0,0,0
1,40,43,64,11,61,8,24,0,0,0,0,0,0,0,0,0
1,37,47,65,106,4,0,0,0,0,0,0,0,0,0,0,0
1,4495,251,239,237,240,0,0,0,0,0,0,0,0,0,0,0
1,259,261,62,64,65,21,57,332,24,0,0,0,0,0,0,0
1,49,291,275,4496,4472,310,29,0,0,0,0,0,0,0,0,0
1,37,46,64,315,28,0,0,0,0,0,0,0,0,0,0,0
1,37,261,62,64,5,0,0,0,0,0,0,0,0,0,0,0
1,55,104,57,29,0,0,0,0,0,0,0,0,0,0,0,0
1,37,261,55,19,332,24,0,0,0,0,0,0,0,0,0,0
1,318,46,55,309,57,282,0,0,0,0,0,0,0,0,0,0
1,38,46,55,57,4,0,0,0,0,0,0,0,0,0,0,0
1,37,46,62,26,4,0,0,0,0,0,0,0,0,0,0,0
1,36,43,17,28,236,0,0,0,0,0,0,0,0,0,0,0
1,46,62,5,24,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,64,237,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,107,61,4,0,0,0,0,0,0,0,0,0,0,0
1,37,41,11,28,25,0,0,0,0,0,0,0,0,0,0,0
1,37,46,15,57,28,0,0,0,0,0,0,0,0,0,0,0
1,36,46,62,104,57,10,0,0,0,0,0,0,0,0,0,0
1,35,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,318,261,4,18,0,0,0,0,0,0,0,0,0,0,0,0
1,4495,69,249,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,49,4496,104,57,27,0,0,0,0,0,0,0,0,0,0
1,38,46,62,1606,244,0,0,0,0,0,0,0,0,0,0,0
1,37,46,11,57,9,0,0,0,0,0,0,0,0,0,0,0
1,36,46,106,104,29,0,0,0,0,0,0,0,0,0,0,0
1,38,41,27,236,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,106,55,11,28,0,0,0,0,0,0,0,0,0,0
1,261,62,104,58,29,0,0,0,0,0,0,0,0,0,0,0
1,37,46,64,243,0,0,0,0,0,0,0,0,0,0,0,0
1,49,104,58,57,8,0,0,0,0,0,0,0,0,0,0,0
1,318,42,64,21,310,25,0,0,0,0,0,0,0,0,0,0
1,43,265,57,3,0,0,0,0,0,0,0,0,0,0,0,0
1,39,318,46,62,64,65,106,55,57,4,0,0,0,0,0,0
1,38,42,43,57,4,51,0,0,0,0,0,0,0,0,0,0
1,40,49,64,65,11,237,25,0,0,0,0,0,0,0,0,0
1,268,104,255,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,261,4495,28,0,0,0,0,0,0,0,0,0,0,0,0
1,318,47,64,17,7,0,0,0,0,0,0,0,0,0,0,0
1,38,41,62,57,6,0,0,0,0,0,0,0,0,0,0,0
1,37,46,17,57,29,0,0,0,0,0,0,0,0,0,0,0
1,318,64,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,46,57,240,0,0,0,0,0,0,0,0,0,0,0,0
1,318,47,64,21,1605,3,4,0,0,0,0,0,0,0,0,0
1,38,43,62,64,65,61,5,23,0,0,0,0,0,0,0,0
1,37,264,4,24,0,0,0,0,0,0,0,0,0,0,0,0
1,38,49,64,65,19,57,27,0,0,0,0,0,0,0,0,0
1,318,41,55,5,24,0,0,0,0,0,0,0,0,0,0,0
1,37,47,41,62,17,57,310,0,0,0,0,0,0,0,0,0
1,36,47,64,106,4,0,0,0,0,0,0,0,0,0,0,0
1,318,46,11,57,29,0,0,0,0,0,0,0,0,0,0,0
1,38,46,64,4,25,0,0,0,0,0,0,0,0,0,0,0
1,38,43,62,65,106,55,19,8,0,0,0,0,0,0,0,0
1,38,261,62,65,107,5,0,0,0,0,0,0,0,0,0,0
1,41,62,244,0,0,0,0,0,0,0,0,0,0,0,0,0
1,318,43,64,65,19,61,9,105,0,0,0,0,0,0,0,0
1,48,64,61,1606,4,0,0,0,0,0,0,0,0,0,0,0
1,38,46,64,106,58,57,4,0,0,0,0,0,0,0,0,0
1,36,47,19,8,0,0,0,0,0,0,0,0,0,0,0,0
1,37,41,4496,57,25,0,0,0,0,0,0,0,0,0,0,0
1,36,261,64,106,17,57,28,18,0,0,0,0,0,0,0,0
1,318,47,65,19,57,8,0,0,0,0,0,0,0,0,0,0
1,37,43,64,104,9,25,0,0,0,0,0,0,0,0,0,0
1,36,265,17,52,9,51,24,18,0,0,0,0,0,0,0,0
1,37,49,4495,58,9,0,0,0,0,0,0,0,0,0,0,0
1,36,46,55,1607,0,0,0,0,0,0,0,0,0,0,0,0
1,38,261,19,237,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,46,65,4,0,0,0,0,0,0,0,0,0,0,0,0
1,259,261,62,19,28,25,0,0,0,0,0,0,0,0,0,0
1,37,41,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,64,106,104,57,9,0,0,0,0,0,0,0,0,0
1,36,43,106,5,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,11,25,0,0,0,0,0,0,0,0,0,0,0,0
1,261,19,237,105,0,0,0,0,0,0,0,0,0,0,0,0
1,38,261,64,5,0,0,0,0,0,0,0,0,0,0,0,0
1,37,261,62,64,21,237,25,0,0,0,0,0,0,0,0,0
1,37,46,104,9,0,0,0,0,0,0,0,0,0,0,0,0
1,38,37,43,4,0,0,0,0,0,0,0,0,0,0,0,0
1,36,46,64,11,57,29,18,0,0,0,0,0,0,0,0,0
1,38,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40,47,17,332,0,0,0,0,0,0,0,0,0,0,0,0
1,49,106,4495,8,24,0,0,0,0,0,0,0,0,0,0,0
1,38,41,65,4,0,0,0,0,0,0,0,0,0,0,0,0
1,46,4496,29,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,46,57,1606,0,0,0,0,0,0,0,0,0,0,0,0
1,38,43,62,64,4,0,0,0,0,0,0,0,0,0,0,0
1,318,46,64,11,28,0,0,0,0,0,0,0,0,0,0,0
1,318,47,64,106,51,0,0,0,0,0,0,0,0,0,0,0
1,318,46,55,104,28,0,0,0,0,0,0,0,0,0,0,0
1,36,19,9,24,0,0,0,0,0,0,0,0,0,0,0,0
1,318,41,106,4,0,0,0,0,0,0,0,0,0,0,0,0
1,318,46,106,11,57,28,0,0,0,0,0,0,0,0,0,0
1,38,46,64,57,4,25,0,0,0,0,0,0,0,0,0,0
1,37,40,263,11,69,57,29,0,0,0,0,0,0,0,0,0
1,318,47,62,61,4,0,0,0,0,0,0,0,0,0,0,0
1,38,46,64,106,6,0,0,0,0,0,0,0,0,0,0,0
1,318,41,106,17,28,24,0,0,0,0,0,0,0,0,0,0
1,49,296,297,291,305,107,55,303,21,4495,237,27,0,0,0,0
1,318,261,64,19,237,24,0,0,0,0,0,0,0,0,0,0
1,37,261,107,17,29,0,0,0,0,0,0,0,0,0,0,0
1,38,47,4,105,0,0,0,0,0,0,0,0,0,0,0,0
1,37,49,19,0,0,0,0,0,0,0,0,0,0,0,0,0
1,259,49,62,65,21,57,237,0,0,0,0,0,0,0,0,0
1,37,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,46,64,5,0,0,0,0,0,0,0,0,0,0,0,0
1,38,46,64,11,332,236,0,0,0,0,0,0,0,0,0,0
1,37,46,11,9,0,0,0,0,0,0,0,0,0,0,0,0
1,46,21,57,1606,29,0,0,0,0,0,0,0,0,0,0,0
1,36,43,11,9,236,0,0,0,0,0,0,0,0,0,0,0
1,38,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,318,43,64,58,4,0,0,0,0,0,0,0,0,0,0,0
1,36,48,55,57,1606,4,0,0,0,0,0,0,0,0,0,0
1,263,26,21,9,0,0,0,0,0,0,0,0,0,0,0,0
1,37,50,106,17,10,0,0,0,0,0,0,0,0,0,0,0
1,38,46,11,57,240,0,0,0,0,0,0,0,0,0,0,0
1,37,64,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,50,64,0,0,0,0,0,0,0,0,0,0,0,0,0
1,47,21,29,236,0,0,0,0,0,0,0,0,0,0,0,0
1,40,42,64,55,4495,25,0,0,0,0,0,0,0,0,0,0
1,37,46,21,57,332,25,0,0,0,0,0,0,0,0,0,0
1,38,42,65,4,0,0,0,0,0,0,0,0,0,0,0,0
1,318,43,19,9,18,0,0,0,0,0,0,0,0,0,0,0
1,36,46,64,55,57,1606,9,0,0,0,0,0,0,0,0,0
1,37,46,11,57,29,0,0,0,0,0,0,0,0,0,0,0
1,38,46,62,106,243,0,0,0,0,0,0,0,0,0,0,0
1,37,46,104,1606,1607,0,0,0,0,0,0,0,0,0,0,0
1,37,43,19,9,24,0,0,0,0,0,0,0,0,0,0,0
1,36,261,21,24,25,0,0,0,0,0,0,0,0,0,0,0
1,37,265,4,24,0,0,0,0,0,0,0,0,0,0,0,0
1,318,41,62,11,237,0,0,0,0,0,0,0,0,0,0,0
1,37,47,17,28,0,0,0,0,0,0,0,0,0,0,0,0
1,37,41,4496,27,51,25,0,0,0,0,0,0,0,0,0,0
1,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,318,265,21,8,25,0,0,0,0,0,0,0,0,0,0,0
1,35,42,62,64,104,237,0,0,0,0,0,0,0,0,0,0
1,37,263,64,4,105,0,0,0,0,0,0,0,0,0,0,0
1,46,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,46,305,57,4,0,0,0,0,0,0,0,0,0,0,0
1,49,104,58,29,0,0,0,0,0,0,0,0,0,0,0,0
1,259,40,11,57,7,0,0,0,0,0,0,0,0,0,0,0
1,38,43,244,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,43,19,57,28,0,0,0,0,0,0,0,0,0,0,0
1,39,318,48,64,21,28,0,0,0,0,0,0,0,0,0,0
1,36,49,62,19,57,237,25,0,0,0,0,0,0,0,0,0
1,46,64,11,237,0,0,0,0,0,0,0,0,0,0,0,0
